🌟央臺🌟,#genre#
凤凰资讯,http://c.123.rr.kg/163189/fhzx
凤凰香港,http://c.123.rr.kg/163189/fhhk
TVB1,http://c.123.rr.kg/163189/tvb1
TVBJ1,http://c.123.rr.kg/163189/j1
翡翠剧集台,http://c.123.rr.kg/163189/tvbd
华丽翡翠台,http://c.123.rr.kg/163189/hlfct
TVB亚洲武侠,http://c.123.rr.kg/163189/yzwx
TVB娱乐新闻台,http://c.123.rr.kg/163189/ylxw
无线新闻台,http://c.123.rr.kg/163189/wxxwt
TVB星河,http://c.123.rr.kg/163189/tvbxh
凤凰资讯,https://cdn.qd.je/163189/fhzx
凤凰香港,https://cdn.qd.je/163189/fhhk
凤凰中文,https://cdn.qd.je/163189/fhzw
翡翠台,https://cdn.qd.je/163189/fct
翡翠台(字幕),https://cdn.qd.je/163189/fct2
翡翠剧集台,https://cdn.qd.je/163189/tvbd
无线新闻台,https://cdn.qd.je/163189/wxxw
TVB Plus(字幕),https://cdn.qd.je/163189/tvbp
HOY TV,https://cdn.qd.je/163189/hoy
HOY TV,https://cdn.qd.je/163189/hoy2
HOY资讯台,https://cdn.qd.je/163189/hoy78
HOY国际财经台,https://cdn.qd.je/163189/hoy76
ViuTV,https://cdn.qd.je/163189/viu
ViuTVsix,https://cdn.qd.je/163189/viu6
NOW新闻台,https://cdn.qd.je/163189/now
TVB1,https://cdn.qd.je/163189/tvb1
TVBJ1,https://cdn.qd.je/163189/j1
NOW星影台,http://173.208.234.146/live/nowxy.m3u8
NOW爆谷台,http://173.208.234.146/live/nowbg.m3u8
中天新闻台,http://173.208.234.146/live/ctinews.m3u8
天映频道台,http://173.208.234.146/live/typd.m3u8
爱奇艺,https://cdn.qd.je/163189/iqiyi
天影CCM,https://cdn.qd.je/163189/ccm
CHU5,https://cdn.qd.je/163189/ch5
CHU8,https://cdn.qd.je/163189/ch8
CHU,https://cdn.qd.je/163189/chu
千禧经典台,https://cdn.qd.je/163189/tvbc
欢喜台,https://cdn.qd.je/163189/hxt
天映新加坡,https://cdn.qd.je/163189/typd
天映经典,https://cdn.qd.je/163189/ccm
华丽翡翠台,https://cdn.qd.je/163189/hlt
华丽翡翠台(硬字幕),https://cdn.qd.je/163189/jade
华丽翡翠台(新加坡),https://cdn.qd.je/163189/jade2
Astro欢喜台,https://cdn.qd.je/163189/hxt
爱奇艺,https://cdn.qd.je/163189/iqiyi
天映频道,https://cdn.qd.je/163189/typd2
天映经典,https://cdn.qd.je/163189/ccm2
TVB星河,https://cdn.qd.je/163189/tvbxh2
千禧经典台,https://cdn.qd.je/163189/tvbc
翡翠台(WebVTT字幕),https://cdn.qd.je/163189/fctvtt
明珠台(WebVTT字幕),https://cdn.qd.je/163189/mztvtt
TVB Plus(WebVTT字幕),https://cdn.qd.je/163189/tvbpvtt
黄金华剧台(WebVTT字幕),https://cdn.qd.je/163189/hjhjt

🌟經典🌟,#genre#
星爷台,http://tv.zimtv.cn/tv/player/api/huya.php?id=11342412
英叔台,http://tv.zimtv.cn/tv/player/api/huya.php?id=11342421
发哥台,http://tv.zimtv.cn/tv/player/api/huya.php?id=11342387
成龙台,http://tv.zimtv.cn/tv/player/api/huya.php?id=11342386
王晶台,http://tv.zimtv.cn/tv/player/api/huya.php?id=11602058
漫威台,http://tv.zimtv.cn/tv/player/api/huya.php?id=11602034
宇宙台,http://tv.zimtv.cn/tv/player/api/huya.php?id=11342428
怪兽台,http://tv.zimtv.cn/tv/player/api/huya.php?id=21059577
武侠台,http://tv.zimtv.cn/tv/player/api/huya.php?id=11342427
罪犯台,http://tv.zimtv.cn/tv/player/api/huya.php?id=11352962
枪战台,http://tv.zimtv.cn/tv/player/api/huya.php?id=21059579
赛车台,http://tv.zimtv.cn/tv/player/api/huya.php?id=11279247
热血台,http://tv.zimtv.cn/tv/player/api/huya.php?id=11352934
盗墓台,http://tv.zimtv.cn/tv/player/api/huya.php?id=21059552
贺岁台,http://tv.zimtv.cn/tv/player/api/huya.php?id=11601971
喜剧台,http://tv.zimtv.cn/tv/player/api/huya.php?id=11352877
港片台,http://tv.zimtv.cn/tv/player/api/huya.php?id=11602043
国产台,http://tv.zimtv.cn/tv/player/api/huya.php?id=11352973

